panel,ckt,slots,description,load_class,phases,poles,va,amps,breaker_a,wire,continuous,va_A,va_B,va_C
B-LR1,1,1-3,UH-E101 unit heater 5 kW 208 V 1-ph (Elec Rm),hvac,1,2,5000.0,24.04,35,8 AWG,1,2500.0,2500.0,0.0
B-LR1,2,2,Recepts - Area E bus bay north 3 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,1440.0,0.0,0.0
B-LR1,4,4,Recepts - Area E bus bay south 1 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,1440.0,0.0
B-LR1,5,5,Recepts - Area E bus bay north 1 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,0.0,1440.0
B-LR1,6,6,Recepts - Area E bus bay north 2 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,0.0,1440.0
B-LR1,7,7,Recepts - Area E bus bay south 3 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,1440.0,0.0,0.0
B-LR1,8,8,Battery charger receptacle 1 (dedicated 20 A),misc,1,1,1200.0,10.0,20,12 AWG,0,1200.0,0.0,0.0
B-LR1,9,9,Recepts - Area E workbench (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,1440.0,0.0
B-LR1,10,10,Battery charger receptacle 2 (dedicated 20 A),misc,1,1,1200.0,10.0,20,12 AWG,0,0.0,1200.0,0.0
B-LR1,11,11,Recepts - Area E bus bay south 2 (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,0.0,1440.0
B-LR1,12,12,Recepts - Area E charging alcove (8 duplex @ 180 VA),receptacle,1,1,1440.0,12.0,20,12 AWG,0,0.0,0.0,1440.0
B-LR1,13,13,Egress / exit lighting 120 V (Area E),lighting,1,1,800.0,6.67,20,12 AWG,1,800.0,0.0,0.0
B-LR1,14,14,SPARE,misc,1,1,0.0,0.0,20.0,12 AWG,0,0.0,0.0,0.0
B-LR1,15,15,Recepts - Elec Rm E101 (4 duplex @ 180 VA),receptacle,1,1,720.0,6.0,20,12 AWG,0,0.0,720.0,0.0
B-LR1,16,16,SPARE,misc,1,1,0.0,0.0,20.0,12 AWG,0,0.0,0.0,0.0
B-LR1,17,17,SP-E101 sump pump 1/2 HP 120 V (NEC 430.248 FLA 9.8 A),motor,1,1,1176.0,9.8,20,12 AWG,0,0.0,0.0,1176.0
B-LR1,18,18,Water cooler / bottle filler,misc,1,1,500.0,4.17,20,12 AWG,0,0.0,0.0,500.0
